icon_id,subject_term,category,creator_name,source_book,source_chapter,source_text
icon_836e134c,四時花雀圖,Bird-and-Flower,居寀,《益州名画录》,卷中·妙格下品,"居寀, 字伯鸞, 筌少子也。畫藝敏贍, 不讓於 父。蜀之四主 崇奢, 宮殿、苑囿、池亭, 世罕其比。居寀父子人內供奉 迨四十年, 殿庭墻壁、門幃、屏 幃 圖畫之數, 不可紀録。授翰林待詔、將仕郎、試太子議郎, 賜金魚袋。淮南通好之日, 居寀與父同手畫《四時花雀圖》《青城山圖》《峨眉山圖》《春山圖》《秋山圖》, 用荅國信。使命 將發, 《秋山》全未及"
icon_18d11919,青城山圖,Landscape,居寀,《益州名画录》,卷中·妙格下品,"居寀, 字伯鸞, 筌少子也。畫藝敏贍, 不讓於 父。蜀之四主 崇奢, 宮殿、苑囿、池亭, 世罕其比。居寀父子人內供奉 迨四十年, 殿庭墻壁、門幃、屏 幃 圖畫之數, 不可紀録。授翰林待詔、將仕郎、試太子議郎, 賜金魚袋。淮南通好之日, 居寀與父同手畫《四時花雀圖》《青城山圖》《峨眉山圖》《春山圖》《秋山圖》, 用荅國信。使命 將發, 《秋山》全未及"
icon_7b755095,峨眉山圖,Landscape,居寀,《益州名画录》,卷中·妙格下品,"居寀, 字伯鸞, 筌少子也。畫藝敏贍, 不讓於 父。蜀之四主 崇奢, 宮殿、苑囿、池亭, 世罕其比。居寀父子人內供奉 迨四十年, 殿庭墻壁、門幃、屏 幃 圖畫之數, 不可紀録。授翰林待詔、將仕郎、試太子議郎, 賜金魚袋。淮南通好之日, 居寀與父同手畫《四時花雀圖》《青城山圖》《峨眉山圖》《春山圖》《秋山圖》, 用荅國信。使命 將發, 《秋山》全未及"
icon_decfea3d,春山圖,Landscape,居寀,《益州名画录》,卷中·妙格下品,"居寀, 字伯鸞, 筌少子也。畫藝敏贍, 不讓於 父。蜀之四主 崇奢, 宮殿、苑囿、池亭, 世罕其比。居寀父子人內供奉 迨四十年, 殿庭墻壁、門幃、屏 幃 圖畫之數, 不可紀録。授翰林待詔、將仕郎、試太子議郎, 賜金魚袋。淮南通好之日, 居寀與父同手畫《四時花雀圖》《青城山圖》《峨眉山圖》《春山圖》《秋山圖》, 用荅國信。使命 將發, 《秋山》全未及"
icon_2c56be8c,秋山圖,Landscape,居寀,《益州名画录》,卷中·妙格下品,"居寀, 字伯鸞, 筌少子也。畫藝敏贍, 不讓於 父。蜀之四主 崇奢, 宮殿、苑囿、池亭, 世罕其比。居寀父子人內供奉 迨四十年, 殿庭墻壁、門幃、屏 幃 圖畫之數, 不可紀録。授翰林待詔、將仕郎、試太子議郎, 賜金魚袋。淮南通好之日, 居寀與父同手畫《四時花雀圖》《青城山圖》《峨眉山圖》《春山圖》《秋山圖》, 用荅國信。使命 將發, 《秋山》全未及"
icon_dbb6f7ec,秋山,Landscape,居寀,《益州名画录》,卷中·妙格下品,"居寀, 字伯鸞, 筌少子也。畫藝敏贍, 不讓於 父。蜀之四主 崇奢, 宮殿、苑囿、池亭, 世罕其比。居寀父子人內供奉 迨四十年, 殿庭墻壁、門幃、屏 幃 圖畫之數, 不可紀録。授翰林待詔、將仕郎、試太子議郎, 賜金魚袋。淮南通好之日, 居寀與父同手畫《四時花雀圖》《青城山圖》《峨眉山圖》《春山圖》《秋山圖》, 用荅國信。使命 將發, 《秋山》全未及"
icon_49336a88,西天三藏 真,Portrait,李文才,《益州名画录》,卷中·妙格下品,"李文才者, 華陽 人也。 攻畫人物、屋木、山水, 善寫真, 罕及, 周昉 之亞 也。 蜀廣政中, 荊南高太王 令邸務 丁晏入蜀, 請文才寫興義門 兩雙石笋, 兼徵 其故實, 將歸本道。 文才告 道士範德昭: “皆云真珠 樓基, 或云是海眼, 未審孰是?” 德昭曰: “吾聞諸至人, 斯乃蠶叢 啟國 鎮蜀之碑, 中以鐵柱貫 之, 下以橫石相連, 埋於地際。上有文字, 言歲時豐儉、兵革 水火之事。諸葛 曾掘驗之, 真珠樓基、海眼皆非也。” 蜀人少知, 云出《圓方記》, 未詳。 廣政末, 主置真堂大聖慈寺華嚴閣後, 命文才寫諸親 王文武臣僚等真。 授翰林待詔、將仕郎、試太子司議郎, 賜緋魚袋。 畫未畢, 聖朝吊伐, 盡已除毀。 三學院經樓 下《西天三藏 真》《定惠國師真》, 華嚴閣迎廊下《奉聖國師真》, 應天寺《無智禪師真》, 并文才筆, 見存。"
icon_53a54cca,定惠國師真,Portrait,李文才,《益州名画录》,卷中·妙格下品,"李文才者, 華陽 人也。 攻畫人物、屋木、山水, 善寫真, 罕及, 周昉 之亞 也。 蜀廣政中, 荊南高太王 令邸務 丁晏入蜀, 請文才寫興義門 兩雙石笋, 兼徵 其故實, 將歸本道。 文才告 道士範德昭: “皆云真珠 樓基, 或云是海眼, 未審孰是?” 德昭曰: “吾聞諸至人, 斯乃蠶叢 啟國 鎮蜀之碑, 中以鐵柱貫 之, 下以橫石相連, 埋於地際。上有文字, 言歲時豐儉、兵革 水火之事。諸葛 曾掘驗之, 真珠樓基、海眼皆非也。” 蜀人少知, 云出《圓方記》, 未詳。 廣政末, 主置真堂大聖慈寺華嚴閣後, 命文才寫諸親 王文武臣僚等真。 授翰林待詔、將仕郎、試太子司議郎, 賜緋魚袋。 畫未畢, 聖朝吊伐, 盡已除毀。 三學院經樓 下《西天三藏 真》《定惠國師真》, 華嚴閣迎廊下《奉聖國師真》, 應天寺《無智禪師真》, 并文才筆, 見存。"
icon_8f1c9d82,奉聖國師真,Portrait,李文才,《益州名画录》,卷中·妙格下品,"李文才者, 華陽 人也。 攻畫人物、屋木、山水, 善寫真, 罕及, 周昉 之亞 也。 蜀廣政中, 荊南高太王 令邸務 丁晏入蜀, 請文才寫興義門 兩雙石笋, 兼徵 其故實, 將歸本道。 文才告 道士範德昭: “皆云真珠 樓基, 或云是海眼, 未審孰是?” 德昭曰: “吾聞諸至人, 斯乃蠶叢 啟國 鎮蜀之碑, 中以鐵柱貫 之, 下以橫石相連, 埋於地際。上有文字, 言歲時豐儉、兵革 水火之事。諸葛 曾掘驗之, 真珠樓基、海眼皆非也。” 蜀人少知, 云出《圓方記》, 未詳。 廣政末, 主置真堂大聖慈寺華嚴閣後, 命文才寫諸親 王文武臣僚等真。 授翰林待詔、將仕郎、試太子司議郎, 賜緋魚袋。 畫未畢, 聖朝吊伐, 盡已除毀。 三學院經樓 下《西天三藏 真》《定惠國師真》, 華嚴閣迎廊下《奉聖國師真》, 應天寺《無智禪師真》, 并文才筆, 見存。"
icon_7dd7bcb7,無智禪師真,Portrait,李文才,《益州名画录》,卷中·妙格下品,"李文才者, 華陽 人也。 攻畫人物、屋木、山水, 善寫真, 罕及, 周昉 之亞 也。 蜀廣政中, 荊南高太王 令邸務 丁晏入蜀, 請文才寫興義門 兩雙石笋, 兼徵 其故實, 將歸本道。 文才告 道士範德昭: “皆云真珠 樓基, 或云是海眼, 未審孰是?” 德昭曰: “吾聞諸至人, 斯乃蠶叢 啟國 鎮蜀之碑, 中以鐵柱貫 之, 下以橫石相連, 埋於地際。上有文字, 言歲時豐儉、兵革 水火之事。諸葛 曾掘驗之, 真珠樓基、海眼皆非也。” 蜀人少知, 云出《圓方記》, 未詳。 廣政末, 主置真堂大聖慈寺華嚴閣後, 命文才寫諸親 王文武臣僚等真。 授翰林待詔、將仕郎、試太子司議郎, 賜緋魚袋。 畫未畢, 聖朝吊伐, 盡已除毀。 三學院經樓 下《西天三藏 真》《定惠國師真》, 華嚴閣迎廊下《奉聖國師真》, 應天寺《無智禪師真》, 并文才筆, 見存。"
