work_id,title,creator_ref,period_ref,icon_ref,status,support,dimensions,repository,source_book,source_chapter,source_text
work_23e0d1df,燕太子丹圖一卷,Anonymous,Sui,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,燕太子丹圖一卷 ... 右十一卷皆甚精奇，隋朝以來，私家搜訪所得內三卷，近陸探微，先無題記可考 。
work_ad6b0789,蓄史圖一卷,Anonymous,Sui,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,蓄史圖一卷 ... 右十一卷皆甚精奇，隋朝以來，私家搜訪所得內三卷，近陸探微，先無題記可考 。
work_3860358d,孫氏水戰圖一卷,Anonymous,Sui,Landscape,Lost,Silk,,,《贞观公私画史》,卷一·画目,孫氏水戰圖一卷 ... 右十一卷皆甚精奇，隋朝以來，私家搜訪所得內三卷，近陸探微，先無題記可考 。
work_591f3861,五岳真形圖一卷,Anonymous,Sui,Landscape,Lost,Silk,,,《贞观公私画史》,卷一·画目,五岳真形圖一卷 ... 右十一卷皆甚精奇，隋朝以來，私家搜訪所得內三卷，近陸探微，先無題記可考 。
work_9fafd69c,紀年詩意圖一卷,Anonymous,Sui,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,紀年詩意圖一卷 ... 右十一卷皆甚精奇，隋朝以來，私家搜訪所得內三卷，近陸探微，先無題記可考 。
work_9dd40ed9,雜鬼神樣二卷,Anonymous,Sui,Religious,Lost,Silk,,,《贞观公私画史》,卷一·画目,雜鬼神樣二卷 ... 右十一卷皆甚精奇，隋朝以來，私家搜訪所得內三卷，近陸探微，先無題記可考 。
work_d17dc5f0,列女傳仁智圖,王廙,Jin,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,列女傳仁智圖 ... 右六卷，王廙畫，隋朝官本 。（本作戴逵，下脫略，補此。張彥遠《名畫記》又有《獅子擊象圖》、《犀兒圖》）
work_f004fd0a,獅子圖,王廙,Jin,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,獅子圖 ... 右六卷，王廙畫，隋朝官本 。（本作戴逵，下脫略，補此。張彥遠《名畫記》又有《獅子擊象圖》、《犀兒圖》）
work_3a743251,畏獸圖,王廙,Jin,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,畏獸圖（已上三卷，《梁太清目》所有） ... 右六卷，王廙畫，隋朝官本 。（本作戴逵，下脫略，補此。張彥遠《名畫記》又有《獅子擊象圖》、《犀兒圖》）
work_a6ad01b9,魚龍相戲圖,王廙,Jin,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,魚龍相戲圖 ... 右六卷，王廙畫，隋朝官本 。（本作戴逵，下脫略，補此。張彥遠《名畫記》又有《獅子擊象圖》、《犀兒圖》）
work_88f0e9ec,吳楚放牧圖,王廙,Jin,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,吳楚放牧圖 ... 右六卷，王廙畫，隋朝官本 。（本作戴逵，下脫略，補此。張彥遠《名畫記》又有《獅子擊象圖》、《犀兒圖》）
work_1ac64632,村社會集圖,王廙,Jin,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,村社會集圖 ... 右六卷，王廙畫，隋朝官本 。（本作戴逵，下脫略，補此。張彥遠《名畫記》又有《獅子擊象圖》、《犀兒圖》）
work_ef072d4a,晉瓦官寺壁画,顧愷之、張僧繇,Jin,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 晉瓦官寺（有顧愷之、張僧繇畫壁，在江寧）
work_10ba90f8,宋法王寺壁画,顧駿之,Song,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 宋法王寺（顧駿之畫，在永嘉）
work_438f20fa,晉龍寬寺壁画,史道碩,Jin,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 晉龍寬寺（史道碩畫，在江陵）
