lit_id,target_ref,target_type,source_book,source_chapter,author_ref,quality_rank,quote,source_text,literature_ref,evaluation_type
lit_243276c5,獅子擊象圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右二卷，題云嵇康畫，未詳，隋朝官本 。（康畫，《太清目》中所不載）,右二卷，題云嵇康畫，未詳，隋朝官本 。（康畫，《太清目》中所不載）,《贞观公私画史》,Catalog/Authentication
lit_e90806be,講學圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右一卷，蔡邕畫，隋朝官本，有晉宋梁陳年月印記 。（張彥遠《名畫記》又有《小列女圖》，邕畫，《太清目》所不載）,右一卷，蔡邕畫，隋朝官本，有晉宋梁陳年月印記 。（張彥遠《名畫記》又有《小列女圖》，邕畫，《太清目》所不載）,《贞观公私画史》,Catalog/Authentication
lit_753ba1d1,吳季札像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右三卷，楊修畫，隋朝官本，有晉明帝題記 。（《太清目》所不載）,右三卷，楊修畫，隋朝官本，有晉明帝題記 。（《太清目》所不載）,《贞观公私画史》,Catalog/Authentication
lit_0f050cbf,嚴君平賣卜圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右三卷，楊修畫，隋朝官本，有晉明帝題記 。（《太清目》所不載）,右三卷，楊修畫，隋朝官本，有晉明帝題記 。（《太清目》所不載）,《贞观公私画史》,Catalog/Authentication
lit_da30eb95,兩京圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右三卷，楊修畫，隋朝官本，有晉明帝題記 。（《太清目》所不載）,右三卷，楊修畫，隋朝官本，有晉明帝題記 。（《太清目》所不載）,《贞观公私画史》,Catalog/Authentication
lit_f3101cc6,周穆王八駿圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右八卷，史道碩畫，隋朝官本 。（張彥遠《名畫記》：《田家十一月圖》）,右八卷，史道碩畫，隋朝官本 。（張彥遠《名畫記》：《田家十一月圖》）,《贞观公私画史》,Catalog/Authentication
lit_e706df5c,服乘箴圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右八卷，史道碩畫，隋朝官本 。（張彥遠《名畫記》：《田家十一月圖》）,右八卷，史道碩畫，隋朝官本 。（張彥遠《名畫記》：《田家十一月圖》）,《贞观公私画史》,Catalog/Authentication
lit_34f88bdf,七命圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右八卷，史道碩畫，隋朝官本 。（張彥遠《名畫記》：《田家十一月圖》）,右八卷，史道碩畫，隋朝官本 。（張彥遠《名畫記》：《田家十一月圖》）,《贞观公私画史》,Catalog/Authentication
lit_f24f8232,王浚弋船圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右八卷，史道碩畫，隋朝官本 。（張彥遠《名畫記》：《田家十一月圖》）,右八卷，史道碩畫，隋朝官本 。（張彥遠《名畫記》：《田家十一月圖》）,《贞观公私画史》,Catalog/Authentication
lit_a527bda0,田家社會圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右八卷，史道碩畫，隋朝官本 。（張彥遠《名畫記》：《田家十一月圖》）,右八卷，史道碩畫，隋朝官本 。（張彥遠《名畫記》：《田家十一月圖》）,《贞观公私画史》,Catalog/Authentication
lit_6e46f8bd,梵僧圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右八卷，史道碩畫，隋朝官本 。（張彥遠《名畫記》：《田家十一月圖》）,右八卷，史道碩畫，隋朝官本 。（張彥遠《名畫記》：《田家十一月圖》）,《贞观公私画史》,Catalog/Authentication
lit_719e6115,尚平子圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十一卷，戴逵畫，隋朝官。本（此下脫）,右十一卷，戴逵畫，隋朝官。本（此下脫）,《贞观公私画史》,Catalog/Authentication
