person_id,primary_role,name,courtesy_name,pseudonym,other_names,choronym,birth_death,period_ref,authority_ids,source_book,source_chapter,source_text
meso_ea3bf3e8,Painter,王知慎,,,,,,period_tang,,《续画品录》,中品下,解蒨、王知慎、劉董
meso_25dba710,Painter,劉董,,,,,,period_tang,,《续画品录》,中品下,解蒨、王知慎、劉董
meso_bdf0b939,Painter,毛惠秀,,,,,,period_southern_qi,,《续画品录》,下品上,毛惠秀、史粲、嵇康、高貴鄉公
meso_d81b516b,Painter,史粲,,,,,,period_northern_wei,,《续画品录》,下品上,毛惠秀、史粲、嵇康、高貴鄉公
meso_aebbc663,Painter,嵇康,,,,,,period_three_kingdoms_wei,,《续画品录》,下品上,毛惠秀、史粲、嵇康、高貴鄉公
meso_93b6eae4,Painter,高貴鄉公,,,,,,period_three_kingdoms_wei,,《续画品录》,下品上,毛惠秀、史粲、嵇康、高貴鄉公
meso_9ac631b5,Painter,王羲之,,,,,,period_eastern_jin,,《续画品录》,下品中,王羲之、毛惠遠、康元之
meso_8b20fd53,Painter,毛惠遠,,,,,,period_liu_song,,《续画品录》,下品中,王羲之、毛惠遠、康元之
meso_2d1598cf,Painter,康元之,,,,,,period_tang,,《续画品录》,下品中,王羲之、毛惠遠、康元之
meso_72c61e73,Painter,范懷珎,,,,,,period_liang,,《续画品录》,下品中,陸探微、范懷珎、梁元帝
meso_d3902365,Painter,聶松,,,,,,period_liang,,《续画品录》,下品中,聶松、高尚士、外國僧迦陀
meso_058f4047,Painter,高尚士,,,,,,period_sui,,《续画品录》,下品中,聶松、高尚士、外國僧迦陀
meso_927b9bba,Painter,外國僧迦陀,,,,,,period_unknown,,《续画品录》,下品中,聶松、高尚士、外國僧迦陀
meso_be4a5160,Painter,吉底俱,,,,,,period_unknown,,《续画品录》,下品中,吉底俱、摩羅菩提、康菩薩
meso_92d3dd72,Painter,摩羅菩提,,,,,,period_unknown,,《续画品录》,下品中,吉底俱、摩羅菩提、康菩薩
meso_5fd6fad2,Painter,康菩薩,,,,,,period_unknown,,《续画品录》,下品中,吉底俱、摩羅菩提、康菩薩
meso_166a3cf3,Painter,鄭德文,,,,,,period_sui,,《续画品录》,下品中,鄭德文、孜尙子、江志
meso_6b9d5820,Painter,孜尙子,,,,,,period_sui,,《续画品录》,下品中,鄭德文、孜尙子、江志
meso_d619f7dd,Painter,江志,,,,,,period_sui,,《续画品录》,下品中,鄭德文、孜尙子、江志
meso_cc17dd5b,Painter,吳智敏,,,,,,period_tang,,《续画品录》,下品中,吳智敏、楊須跂、檀知政
meso_5b683bd0,Painter,楊須跂,,,,,,period_tang,,《续画品录》,下品中,吳智敏、楊須跂、檀知政
meso_0addeaff,Painter,檀知政,,,,,,period_tang,,《续画品录》,下品中,吳智敏、楊須跂、檀知政
meso_8585ef0b,Painter,晉明帝,,,,,,period_eastern_jin,,《续画品录》,下品下,晉明帝、蔡贇、范長壽
meso_e609fe2c,Painter,蔡贇,,,,,,period_liu_song,,《续画品录》,下品下,晉明帝、蔡贇、范長壽
meso_e60198ad,Painter,范長壽,,,,,,period_tang,,《续画品录》,下品下,晉明帝、蔡贇、范長壽
meso_e8341bb2,Painter,蔡邕,,,,,,period_eastern_han,,《续画品录》,下品下,蔡邕、夏瞻、謝雉
meso_e711d29f,Painter,夏瞻,,,,,,period_liu_song,,《续画品录》,下品下,蔡邕、夏瞻、謝雉
meso_f4fe48e9,Painter,謝雉,,,,,,period_eastern_jin,,《续画品录》,下品下,蔡邕、夏瞻、謝雉
meso_1726ed8a,Painter,劉項,,,,,,period_tang,,《续画品录》,下品下,劉項、張墨、戴勃
meso_f1612d83,Painter,張墨,,,,,,period_tang,,《续画品录》,下品下,劉項、張墨、戴勃
meso_79f5e45b,Painter,戴勃,,,,,,period_liu_song,,《续画品录》,下品下,劉項、張墨、戴勃
meso_8ef659f4,Painter,史藝,,,,,,period_tang,,《续画品录》,下品下,史藝、劉斌、王微
meso_f0d45683,Painter,劉斌,,,,,,period_tang,,《续画品录》,下品下,史藝、劉斌、王微
meso_e1b340c8,Painter,王微,,,,,,period_liu_song,,《续画品录》,下品下,史藝、劉斌、王微
meso_cada8473,Painter,尹長生,,,,,,period_tang,,《续画品录》,下品下,尹長生、吳陳、張則
meso_27e105df,Painter,吳陳,,,,,,period_tang,,《续画品录》,下品下,尹長生、吳陳、張則
meso_5c4cec89,Painter,張則,,,,,,period_tang,,《续画品录》,下品下,尹長生、吳陳、張則
meso_4e3f0d53,Painter,僕道興,,,,,,period_tang,,《续画品录》,下品下,僕道興、陸紹祖、劉徹
meso_03603cd9,Painter,陸紹祖,,,,,,period_tang,,《续画品录》,下品下,僕道興、陸紹祖、劉徹
meso_f9829fc8,Painter,劉徹,,,,,,period_tang,,《续画品录》,下品下,僕道興、陸紹祖、劉徹
meso_30a4b6c5,Painter,康昕,,,,,,period_eastern_jin,,《续画品录》,下品下,康昕、濮萬年、朱僧繇
meso_f3d57f05,Painter,濮萬年,,,,,,period_tang,,《续画品录》,下品下,康昕、濮萬年、朱僧繇
meso_07c4f2f9,Painter,朱僧繇,,,,,,period_tang,,《续画品录》,下品下,康昕、濮萬年、朱僧繇
meso_2cdfaa40,Painter,褚靈石,,,,,,period_tang,,《续画品录》,下品下,褚靈石、蕭賁、张季和
meso_9dec27ab,Painter,蕭賁,,,,,,period_liang,,《续画品录》,下品下,褚靈石、蕭賁、张季和
meso_b592d79c,Painter,张季和,,,,,,period_tang,,《续画品录》,下品下,褚靈石、蕭賁、张季和
meso_cf073df5,Painter,章愜伯,,,,,,period_tang,,《续画品录》,下品下,章愜伯、謝約、蘧道敏
meso_16f2ac35,Painter,謝約,,,,,,period_tang,,《续画品录》,下品下,章愜伯、謝約、蘧道敏
meso_15ed97be,Painter,蘧道敏,,,,,,period_tang,,《续画品录》,下品下,章愜伯、謝約、蘧道敏
meso_b9d0a3d0,Painter,沈粲,,,,,,period_tang,,《续画品录》,下品下,沈粲、僧惠覺、鍾宗斐
meso_8ed52aa0,Painter,僧惠覺,,,,,,period_tang,,《续画品录》,下品下,沈粲、僧惠覺、鍾宗斐
meso_acb2206d,Painter,鍾宗斐,,,,,,period_tang,,《续画品录》,下品下,沈粲、僧惠覺、鍾宗斐
meso_11e9a9da,Painter,王奴兒,,,,,,period_tang,,《续画品录》,下品下,王奴兒、丁寬、王殿
meso_6395cd2a,Painter,丁寬,,,,,,period_tang,,《续画品录》,下品下,王奴兒、丁寬、王殿
meso_8386c7b0,Painter,王殿,,,,,,period_tang,,《续画品录》,下品下,王奴兒、丁寬、王殿
meso_bd9669a3,Painter,陳公息,,,,,,period_tang,,《续画品录》,下品下,陳公息、沈摽、虞堅
meso_d4e8fb96,Painter,沈摽,,,,,,period_tang,,《续画品录》,下品下,陳公息、沈摽、虞堅
meso_bc31d2e5,Painter,虞堅,,,,,,period_tang,,《续画品录》,下品下,陳公息、沈摽、虞堅
meso_e5e8a49c,Painter,焦寶願,,,,,,period_tang,,《续画品录》,下品下,焦寶願、嵇寶釣、因僧亮
meso_dd7907df,Painter,嵇寶釣,,,,,,period_tang,,《续画品录》,下品下,焦寶願、嵇寶釣、因僧亮
meso_b8a5c361,Painter,因僧亮,,,,,,period_tang,,《续画品录》,下品下,焦寶願、嵇寶釣、因僧亮
meso_c15faa20,Painter,徐德祖,,,,,,period_tang,,《续画品录》,下品下,徐德祖、劉殺鬼、高孝珩
meso_09ea3b99,Painter,劉殺鬼,,,,,,period_tang,,《续画品录》,下品下,徐德祖、劉殺鬼、高孝珩
meso_a958a70a,Painter,高孝珩,,,,,,period_northern_qi,,《续画品录》,下品下,徐德祖、劉殺鬼、高孝珩
meso_e36e08aa,Painter,阎思光,,,,,,period_tang,,《续画品录》,下品下,阎思光、解悰、劉☐賊
meso_031c0903,Painter,解悰,,,,,,period_tang,,《续画品录》,下品下,阎思光、解悰、劉☐賊
meso_15c5ee24,Painter,劉☐賊,,,,,,period_tang,,《续画品录》,下品下,阎思光、解悰、劉☐賊
meso_869c6c8d,Painter,陳善見,,,,,,period_tang,,《续画品录》,下品下,陳善見、程瓚、李雅
meso_9028b0c4,Painter,程瓚,,,,,,period_tang,,《续画品录》,下品下,陳善見、程瓚、李雅
meso_bc295030,Painter,李雅,,,,,,period_tang,,《续画品录》,下品下,陳善見、程瓚、李雅
meso_47007af9,Painter,王仲舒,,,,,,period_tang,,《续画品录》,下品下,王仲舒、楊德紹、周☐孫
meso_58ec1592,Painter,楊德紹,,,,,,period_tang,,《续画品录》,下品下,王仲舒、楊德紹、周☐孫
meso_a097351f,Painter,周☐孫,,,,,,period_tang,,《续画品录》,下品下,王仲舒、楊德紹、周☐孫
meso_1cc5ac80,Painter,張仲舒,,,,,,period_tang,,《续画品录》,下品下,張仲舒、范龍樹、倪武端
meso_56121e8b,Painter,范龍樹,,,,,,period_tang,,《续画品录》,下品下,張仲舒、范龍樹、倪武端
meso_6b41703a,Painter,倪武端,,,,,,period_tang,,《续画品录》,下品下,張仲舒、范龍樹、倪武端
meso_89986186,Painter,思静心,,,,,,period_tang,,《续画品录》,下品下,思静心
meso_9231adec,Author,李嗣真,,,,,,period_tang,,《续画品录》,序,> 唐李嗣真撰
meso_05cc763a,Editor,毛晋,,,,,,period_ming,,《续画品录》,序,> 明毛 晉訂
