lit_id,target_ref,source_book,source_chapter,author_ref,quality_rank,quote,source_text,person_id
lit_scmhp_021,王兼濟,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品下,"評曰: 張昉用意敏速, 變態皆善。王端寫人形表, 尤見所長。勾龍爽筆力飄逸, 多從質野。陳用志所為, 雖至小僻, 曲盡其妙。厲昭慶居必幽靜, 故其澄慮設色, 久而愈精。王兼濟嘗與武宗元分畫 大像, 然不能及, 亦可以接其步武 矣。並列妙品下。","王兼濟, 西京洛陽人。簡傲 嗜酒, 不修人事。學 吳生為畫, 得其餘趣。白波人武宗元長於大像, 當世稱絕。兼濟嘗與對手, 深見推譽。同於本京南三聖殿畫太一, 兼濟乃西壁焉(東壁乃武宗元畫)。中岳天封觀西壁聖帝 入隊, 亦兼濟之筆(武宗元畫東壁出隊)。雖不及宗元, 自有佳處。",meso_王兼濟
lit_scmhp_022,楊斐,《圣朝名画评》,卷一 人物門第一,刘道醇,能品上,評曰：楊斐深有才思，用亦宏博，於大像求其全功，則非吾所知也。高文進筆力快健，施色鮮潤，皆其所長。趙元長妙於形似。高元亨盡事物之情。並列能品上。,"楊斐, 京師人。性不拘, 有氣概。多遊江浙間, 後居山陽。攻畫佛像, 宗吳生筆。於泗州 普光王寺 畫二神, 高二丈餘, 其容色威勢, 有足觀者。但手足傷小耳。",meso_楊斐
lit_scmhp_023,高文進,《圣朝名画评》,卷一 人物門第一,刘道醇,能品上,評曰：楊斐深有才思，用亦宏博，於大像求其全功，則非吾所知也。高文進筆力快健，施色鮮潤，皆其所長。趙元長妙於形似。高元亨盡事物之情。並列能品上。,"高文進, 蜀中人。太宗時入圖畫院為祗候。上萬機之暇, 留心繪事, 文進與黃居寀常列左右, 賜予優腆。相國寺高益畫壁, 經時圮剥, 上惜其精筆, 將營治之, 詔文進曰: “丹青誰如益者?” 對曰: “臣雖不及, 請以蠟紙摸其筆法。” 後移於壁, 毫髮較益當無差矣。遂與李用及、李象坤翻傳舊本於壁, 盡得益之骨氣。文進自畫後門裏東西二壁五臺峨眉文殊普賢變相, 及後門西壁神、大殿後北方天王等。以其能, 遷待詔, 仍賜所居(在相國寺東)。年老臥病, 上宣醫臣往療之, 仍戒曰: “文進之命, 實係卿手, 功不可緩也。” 上為注意如此。後果愈。敕同畫東太一宮貴神 列位。大中祥符初, 董督 群工計度 玉清昭應宮壁。今景德寺後九曜院羅漢及東壁藥師琉璃光佛, 皆文進所畫也。",meso_高文進
lit_scmhp_024,趙元長,《圣朝名画评》,卷一 人物門第一,刘道醇,能品上,評曰：楊斐深有才思，用亦宏博，於大像求其全功，則非吾所知也。高文進筆力快健，施色鮮潤，皆其所長。趙元長妙於形似。高元亨盡事物之情。並列能品上。,"趙元長, 字慮善, 蜀中人。通天文, 歷仕僞蜀孟昶為靈臺官。亦善丹青, 凡星宿緯象, 皆命畫之。國破, 元長從昶赴 闕下。太祖引 僞署官屬, 凡學天文之類皆不赦。元長當死, 遽呼曰: “臣向仕昶, 謂臣能畫, 所寫者周天 象耳, 符讖 之學非臣所知。” 上特原之, 配文思院 為匠人。常備禁中之役, 畫馴雉 於御座。會五坊 人按鷹, 有離鞲 欲舉 者, 上命縱之, 徑入殿宇, 以搏畫雉。上驚賞久之, 召元長入圖畫院為藝學。詔畫東太一宮貴神之像, 元長實督之。及命摹寫王齊翰應運國寶羅漢, 深得其法。",meso_趙元長
lit_scmhp_025,高元亨,《圣朝名画评》,卷一 人物門第一,刘道醇,能品上,評曰：楊斐深有才思，用亦宏博，於大像求其全功，則非吾所知也。高文進筆力快健，施色鮮潤，皆其所長。趙元長妙於形似。高元亨盡事物之情。並列能品上。,高元亨，字彥德，京師人。一名懷寶。端願拘禮法，嘗褒衣大帶，引奚奴行，人以儒者視之。真廟時為圖畫院祗候。嘗畫從駕兩軍角抵戲場圖，寫其觀者，四合如堵，坐立翹企，攀扶仰俯，及富貴貧賤、老幼長少、緇黃技術、外夷之人，莫不備具，至有争怒解挽，千變萬狀，求真盡得，古未有也。元亨嘗押河西防邊將校冬衣至渭川，見畫人南簡，雖有推獎之意，終不能援。,meso_高元亨
lit_scmhp_026,孫懷說,《圣朝名画评》,卷一 人物門第一,刘道醇,能品中,"評曰:孫懷說氣格清峭,理致深遠。南簡意不在近,格亦至僻。王道真淳重寧妥,可謂能矣,言院體者,無出其右。牟谷、元靄、尹質長於寫貌,筆能奪真,其優劣如次第云。并列能品中。",孫懷說，安定靈臺人也。任俠不事產業。喜丹青，亦學吳生，略得其奧。乘興命筆，往往稱絕。多為好事者取去，故人間少見其本。,meso_孫懷說
lit_scmhp_027,南簡,《圣朝名画评》,卷一 人物門第一,刘道醇,能品中,"評曰:孫懷說氣格清峭,理致深遠。南簡意不在近,格亦至僻。王道真淳重寧妥,可謂能矣,言院體者,無出其右。牟谷、元靄、尹質長於寫貌,筆能奪真,其優劣如次第云。并列能品中。",南簡，平涼人。性簡傲，不肯從親舊遊，閉門獨居，以畫自樂。太宗朝待詔高元亨奉使過渭川，目睹簡畫，得其名氏，遽召之。會簡袖刺來謁，喜其同好，盡禮相遇。因求簡筆，簡遂披紙運思，揮染如掃，窮百番無相犯者。元亨益重之。故相國劉公有簡畫少微星一軸，甚有氣韻。,meso_南簡
lit_scmhp_028,王道真,《圣朝名画评》,卷一 人物門第一,刘道醇,能品中,"評曰:孫懷說氣格清峭,理致深遠。南簡意不在近,格亦至僻。王道真淳重寧妥,可謂能矣,言院體者,無出其右。牟谷、元靄、尹質長於寫貌,筆能奪真,其優劣如次第云。并列能品中。",王道真，字幹叔，新繁人。幼穎悟，有節操，善丹青。太宗朝待詔高文進甚有聲望，一日上問：“民間誰如卿者？”文進進曰：“新繁人王道真者，猶出臣上。”遂召入圖畫院為祗候，與文進等傳移相國寺高益畫壁，及於大殿西偏門南面東壁畫寶志化十二面觀音相，又與文進對畫寺庭北門東面大神，遷待詔。及同文進計度玉清昭應宮壁，當時稱之。,meso_王道真
lit_scmhp_029,牟谷,《圣朝名画评》,卷一 人物門第一,刘道醇,能品中,"評曰:孫懷說氣格清峭,理致深遠。南簡意不在近,格亦至僻。王道真淳重寧妥,可謂能矣,言院體者,無出其右。牟谷、元靄、尹質長於寫貌,筆能奪真,其優劣如次第云。并列能品中。",牟谷，字子衝，不知何處人。美風表，深曉相術，故於丹青中尤長寫貌。太宗龍潛時，牟往事之。暨登位，得圖畫院祗候。端拱中，詔隨專使往交趾，密令偏寫安南王黎桓並臣佐真像。以瘴海飄泊，近十餘年始還京師，值太宗以棄萬國，章聖即位，亦優勞之。谷居閶闔門中，會上幸建隆觀，以所畫先帝御容張於戶外。上見之，果回目，悚然曰：“大行皇帝也。”敕中使收之，執谷詣行在，問其故。對曰：“臣事先帝，待罪於圖畫院，使於異域，淹留歲月，還朝雖在先帝晏駕，伏惟陛下，孝思訓俗，臣所以追寫者，廣陛下罔極之心。先帝聖容，臣乞傳貌。雖聞已敕沙門元靄為之，元靄之技能側面。臣竊以南向恭已，聖人所以尊也，臣攻寫正面者。”上許之，工畢加賜。,meso_牟谷
lit_scmhp_030,沙門元靄,《圣朝名画评》,卷一 人物門第一,刘道醇,能品中,"評曰:孫懷說氣格清峭,理致深遠。南簡意不在近,格亦至僻。王道真淳重寧妥,可謂能矣,言院體者,無出其右。牟谷、元靄、尹質長於寫貌,筆能奪真,其優劣如次第云。并列能品中。","沙門元靄，蜀中人。幼來京師相國寺落髮，授大具足戒，通古人相法，遂能寫真。太宗聞之，召元靄傳寫。時上幸後苑賞春方還，烏巾插花，天姿和暢，靄一揮而成，略無凝滯。上優賜之，由是有聲名，巨貴人爭求其筆。亦嘗畫本寺西經藏院後大悲菩薩。章聖即位，召靄寫先帝側座御容，恩賜甚厚。錢希白《洞微志》云:""僧元靄，蜀人，皇朝來，多禁中供奉。""一旦在御書院中寫粉本，中官皆來觀看。靄公每成，染顏色畢，懷中別出一小石研磨取色，蓋覆肉色之上，然後遂如真。衆工所不及者，正爲此特高。其日用石訖，忽見一小黃門懷之而去。靄公喧呼索之，方置舊處，又以非語凌辱，然後奔走而去。因遍詢中官，同列無肯言其姓名。畫其顏貌，求謁李都知(神福)，哀訴以中貴竊石毀辱之事，忿色可掬。李因诘之曰:""小底至多，不知姓名，誰當其責?""靄公因懷中探出頭子，言此可以驗之。李一見大笑日:""此楊懷吉也，何倉卒間圖寫，筆法如是精妙!""因延坐嗟尚，見召楊責讓，伏罪致謝而退。自此傳神聲價，蔚爲獨步矣。",meso_元璲
